OrderID,Product,Category,Quantity,Price,Revenue,Date
1001,Laptop,Electronics,2,50000,100000,2026-01-10
1002,Mouse,Electronics,10,500,5000,2026-01-11
1003,Keyboard,Electronics,5,1200,6000,2026-01-12
1004,Monitor,Electronics,3,15000,45000,2026-01-13
1005,Printer,Electronics,2,12000,24000,2026-01-14
1006,Chair,Furniture,4,3000,12000,2026-01-15
1007,Table,Furniture,2,8000,16000,2026-01-16
1008,Pen,Stationery,100,10,1000,2026-01-17
1009,Notebook,Stationery,50,50,2500,2026-01-18
1010,Projector,Electronics,1,35000,35000,2026-01-19
